ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
133701,BAM-2294,Fixed,300,1953,1953,3845,NULL
133702,BAM-2293,Fixed,120,0,0,2896,NULL
133703,BAM-2291,Fixed,120,1606,1606,53242,NULL
133704,BAM-2290,Fixed,1,0,0,4,NULL
133713,BAM-2278,Fixed,360,1065,1065,19740,NULL
133717,BAM-2270,Fixed,180,8911,8911,48728,NULL
133719,BAM-2267,Fixed,120,17443,17443,59363,NULL
133729,BAM-2250,Fixed,120,1358,1358,36228,NULL
133731,BAM-2248,Fixed,390,2371,2371,18038,NULL
133735,BAM-2244,Fixed,240,54359,54359,408305,NULL
133738,BAM-2240,Fixed,480,1693,1693,18900,NULL
133745,BAM-2230,Fixed,180,1696,1696,33480,NULL
133747,BAM-2227,Fixed,120,455765,455765,583585,NULL
133748,BAM-2226,Fixed,180,2944,2944,43490,NULL
133770,BAM-2195,Fixed,120,1356,1356,38689,NULL
133771,BAM-2194,Fixed,60,0,0,44987,NULL
133772,BAM-2193,Fixed,360,10379,10379,29149,NULL
133780,BAM-2184,Fixed,300,24829,32953,725936,NULL
133795,BAM-2159,Fixed,360,1699,18885,968160,NULL
133796,BAM-2158,Fixed,240,50364,50364,432298,NULL
133806,BAM-2146,Fixed,660,2346,2346,60092,NULL
133807,BAM-2140,Fixed,900,7635,7635,99473,NULL
133810,BAM-2132,Fixed,180,0,0,18635,NULL
133816,BAM-2117,Fixed,180,0,0,64337,NULL
133824,BAM-2104,Fixed,180,0,0,71961,NULL
133847,BAM-2063,Fixed,720,16766,16766,82259,NULL
133889,BAM-1996,Fixed,240,0,0,127162,NULL
133892,BAM-1986,Fixed,480,20048,20048,517947,NULL
133923,BAM-1932,Fixed,240,1465,1465,172667,NULL
133954,BAM-1889,Fixed,1800,13068,13068,615147,NULL
133971,BAM-1864,Fixed,360,40183,40183,571675,NULL
133972,BAM-1862,Fixed,240,2668,2668,231584,NULL
134003,BAM-1821,Fixed,180,0,0,69,NULL
134004,BAM-1819,Fixed,1920,0,0,30547,NULL
